,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR18,VAR19,VAR20
0,1,878.8235294,0.833333333,821.4285714,620.8358062000001,5.181818182,0.833973702,197.5001866,58.63254762,9.433609234,40.03336113,10.0,2.0,10.0,1.2127844540000001,1.0,0,48.09982788
1,2,891.7647059000001,0.13888888900000002,357.14285710000007,614.0922149,3.9090909089999997,0.595187095,197.0168434,58.63254762,10.14461218,114.77574647334387,5.666666667,1.0,7.6,1.004907423,0.0,0,104.0189329
2,3,955.2941176,0.055555556,244.7456332862211,611.5747476,6.3636363639999995,0.918652115,197.66005080000002,56.43255420644463,0.583493644,114.77574647334387,6.0,1.0,6.0,1.157114762,1.0,1,120.58691909999999
3,4,831.7647059,0.111111111,250.0,617.7406168,6.545454545,2.3839241330000003,200.5262879,48.53936492,5.326531577616553,114.77574647334387,11.900944540521248,3.0,12.720950050031147,2.3508575080000003,0.0,1,168.5920826
4,5,957.6470588,0.166666667,244.7456332862211,623.4268017,15.18507733677913,0.71123995,197.1514581,49.37974795,0.255711585,114.77574647334387,13.33333333,1.0,13.33333333,1.171550667,0.0,1,109.2048193
5,6,890.5882353000001,0.13888888900000002,107.1428571,611.5747476,10.90909091,0.68140505,197.15032040000003,56.43255420644463,12.40651628,150.1251043,8.066666667,1.0,8.666666667000001,1.052984119,1.0,1,112.93287439999999
6,7,923.5294117999999,0.013888889,71.42857143,648.1655576,11.36363636,1.092656211,198.4147154,58.63254762,0.31738727899999997,10.00834028,5.333333333,2.0,5.333333333,1.351082266,0.0,0,121.7056799
7,8,881.1764706,0.083333333,285.7142857,599.0399311000001,11.36363636,0.720824496,196.4190629,47.89968639,10.87986961,80.06672227,3.333333333,1.0,12.2,1.020725069,0.0,0,112.35628229999999
8,9,960.0,0.333333333,244.7456332862211,612.0789413,11.81818182,0.564360443,196.93244860000001,58.63254762,0.8017840209999999,114.77574647334387,6.666666667,1.0,6.666666667,0.966150243,1.0,0,125.59724609999999
9,10,876.4705882000001,1.2222834896497847,244.7456332862211,641.2188884,6.3636363639999995,0.633561084,197.25308710000002,58.63254762,5.326531577616553,218.51542949999998,11.900944540521248,2.0,12.720950050031147,1.01704569,0.0,0,113.03442340000002
10,11,897.6470588,0.38888888899999996,571.4285714,611.5747476,6.6363636360000005,0.559709593,196.9112949,47.89968639,14.52705138,210.17514599999998,13.33333333,1.0,13.33333333,0.95931523,0.0,0,98.39931153
11,12,829.4117647,1.6666666669999999,142.8571429,648.9586122999999,31.81818182,5.38541959,205.8452803,58.63254762,22.12217054,210.17514599999998,26.0,3.0,26.0,4.857854395,0.0,0,107.24440619999999
12,13,988.2352940999999,1.5555555559999998,35.71428571,611.5747476,9.090909091,0.9634850220000001,197.7727191,56.43255420644463,2.515536731,114.77574647334387,10.0,1.0,10.0,1.270362265,3.0,1,180.42168669999998
13,14,960.0,3.333333333,244.7456332862211,616.8967926,27.27272727,0.6580183270000001,197.13440740000001,58.63254762,5.648523387000001,114.77574647334387,23.33333333,1.0,23.33333333,1.037974462,1.0,0,345.7487091
